height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 42]","[39.6428244, -82.8185647]",[],"[50, 42]","[52, 42]","[51, 43]","[51, 41]","['Links/Photos_02Aug2018_67', [25, 21]]",[],"['Links/Photos_20AUG2018_33', '[51, 42]']","['Links/Photos_01JUN2018_33', '[51, 42]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 43]","[39.6428244, -82.8186688]",[],"[50, 43]","[52, 43]",[],"[51, 42]","['Links/Photos_02Aug2018_67', [25, 21]]",[],"['Links/Photos_20AUG2018_33', '[51, 43]']","['Links/Photos_01JUN2018_33', '[51, 43]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 0]","[39.6427174, -82.8141896]",[],"[51, 0]","[53, 0]","[52, 1]",[],"['Links/Photos_02Aug2018_67', [26, 0]]",[],"['Links/Photos_20AUG2018_33', '[52, 0]']","['Links/Photos_01JUN2018_33', '[52, 0]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 1]","[39.6427174, -82.8142937]",[],"[51, 1]","[53, 1]","[52, 2]","[52, 0]","['Links/Photos_02Aug2018_67', [26, 0]]",[],"['Links/Photos_20AUG2018_33', '[52, 1]']","['Links/Photos_01JUN2018_33', '[52, 1]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 2]","[39.6427174, -82.8143979]",[],"[51, 2]","[53, 2]","[52, 3]","[52, 1]","['Links/Photos_02Aug2018_67', [26, 1]]",[],"['Links/Photos_20AUG2018_33', '[52, 2]']","['Links/Photos_01JUN2018_33', '[52, 2]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 3]","[39.6427174, -82.8145021]",[],"[51, 3]","[53, 3]","[52, 4]","[52, 2]","['Links/Photos_02Aug2018_67', [26, 1]]",[],"['Links/Photos_20AUG2018_33', '[52, 3]']","['Links/Photos_01JUN2018_33', '[52, 3]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 4]","[39.6427174, -82.8146062]",[],"[51, 4]","[53, 4]","[52, 5]","[52, 3]","['Links/Photos_02Aug2018_67', [26, 2]]",[],"['Links/Photos_20AUG2018_33', '[52, 4]']","['Links/Photos_01JUN2018_33', '[52, 4]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 5]","[39.6427174, -82.8147104]",[],"[51, 5]","[53, 5]","[52, 6]","[52, 4]","['Links/Photos_02Aug2018_67', [26, 2]]",[],"['Links/Photos_20AUG2018_33', '[52, 5]']","['Links/Photos_01JUN2018_33', '[52, 5]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 6]","[39.6427174, -82.8148146]",[],"[51, 6]","[53, 6]","[52, 7]","[52, 5]","['Links/Photos_02Aug2018_67', [26, 3]]",[],"['Links/Photos_20AUG2018_33', '[52, 6]']","['Links/Photos_01JUN2018_33', '[52, 6]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 7]","[39.6427174, -82.8149187]",[],"[51, 7]","[53, 7]","[52, 8]","[52, 6]","['Links/Photos_02Aug2018_67', [26, 3]]",[],"['Links/Photos_20AUG2018_33', '[52, 7]']","['Links/Photos_01JUN2018_33', '[52, 7]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 8]","[39.6427174, -82.8150229]",[],"[51, 8]","[53, 8]","[52, 9]","[52, 7]","['Links/Photos_02Aug2018_67', [26, 4]]",[],"['Links/Photos_20AUG2018_33', '[52, 8]']","['Links/Photos_01JUN2018_33', '[52, 8]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 9]","[39.6427174, -82.8151271]",[],"[51, 9]","[53, 9]","[52, 10]","[52, 8]","['Links/Photos_02Aug2018_67', [26, 4]]",[],"['Links/Photos_20AUG2018_33', '[52, 9]']","['Links/Photos_01JUN2018_33', '[52, 9]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 10]","[39.6427174, -82.8152313]",[],"[51, 10]","[53, 10]","[52, 11]","[52, 9]","['Links/Photos_02Aug2018_67', [26, 5]]",[],"['Links/Photos_20AUG2018_33', '[52, 10]']","['Links/Photos_01JUN2018_33', '[52, 10]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 11]","[39.6427174, -82.8153354]",[],"[51, 11]","[53, 11]","[52, 12]","[52, 10]","['Links/Photos_02Aug2018_67', [26, 5]]",[],"['Links/Photos_20AUG2018_33', '[52, 11]']","['Links/Photos_01JUN2018_33', '[52, 11]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 12]","[39.6427174, -82.8154396]",[],"[51, 12]","[53, 12]","[52, 13]","[52, 11]","['Links/Photos_02Aug2018_67', [26, 6]]",[],"['Links/Photos_20AUG2018_33', '[52, 12]']","['Links/Photos_01JUN2018_33', '[52, 12]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 13]","[39.6427174, -82.8155438]",[],"[51, 13]","[53, 13]","[52, 14]","[52, 12]","['Links/Photos_02Aug2018_67', [26, 6]]",[],"['Links/Photos_20AUG2018_33', '[52, 13]']","['Links/Photos_01JUN2018_33', '[52, 13]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 14]","[39.6427174, -82.8156479]",[],"[51, 14]","[53, 14]","[52, 15]","[52, 13]","['Links/Photos_02Aug2018_67', [26, 7]]",[],"['Links/Photos_20AUG2018_33', '[52, 14]']","['Links/Photos_01JUN2018_33', '[52, 14]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 15]","[39.6427174, -82.8157521]",[],"[51, 15]","[53, 15]","[52, 16]","[52, 14]","['Links/Photos_02Aug2018_67', [26, 7]]",[],"['Links/Photos_20AUG2018_33', '[52, 15]']","['Links/Photos_01JUN2018_33', '[52, 15]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 16]","[39.6427174, -82.8158563]",[],"[51, 16]","[53, 16]","[52, 17]","[52, 15]","['Links/Photos_02Aug2018_67', [26, 8]]",[],"['Links/Photos_20AUG2018_33', '[52, 16]']","['Links/Photos_01JUN2018_33', '[52, 16]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 17]","[39.6427174, -82.8159604]",[],"[51, 17]","[53, 17]","[52, 18]","[52, 16]","['Links/Photos_02Aug2018_67', [26, 8]]",[],"['Links/Photos_20AUG2018_33', '[52, 17]']","['Links/Photos_01JUN2018_33', '[52, 17]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 18]","[39.6427174, -82.8160646]",[],"[51, 18]","[53, 18]","[52, 19]","[52, 17]","['Links/Photos_02Aug2018_67', [26, 9]]",[],"['Links/Photos_20AUG2018_33', '[52, 18]']","['Links/Photos_01JUN2018_33', '[52, 18]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 19]","[39.6427174, -82.8161688]",[],"[51, 19]","[53, 19]","[52, 20]","[52, 18]","['Links/Photos_02Aug2018_67', [26, 9]]",[],"['Links/Photos_20AUG2018_33', '[52, 19]']","['Links/Photos_01JUN2018_33', '[52, 19]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 20]","[39.6427174, -82.8162729]",[],"[51, 20]","[53, 20]","[52, 21]","[52, 19]","['Links/Photos_02Aug2018_67', [26, 10]]",[],"['Links/Photos_20AUG2018_33', '[52, 20]']","['Links/Photos_01JUN2018_33', '[52, 20]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 21]","[39.6427174, -82.8163771]",[],"[51, 21]","[53, 21]","[52, 22]","[52, 20]","['Links/Photos_02Aug2018_67', [26, 10]]",[],"['Links/Photos_20AUG2018_33', '[52, 21]']","['Links/Photos_01JUN2018_33', '[52, 21]']",[Utility=NaN],"[-1, -1, -1, -1]"
