height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,"[corn=1, Utility=NaN]","[-1, -1, -1, -1]"
33,"[0, 31]","[39.6482787, -82.8174188]",[],[],"[1, 31]","[0, 32]","[0, 30]","['Links/Photos_01JUN2018_67', [0, 15]]",[],"['Links/Photos_02Aug2018_33', '[0, 31]']",[],"[corn=1, Utility=NaN]","[-1, -1, -1, '0.6621949924095745']"
33,"[0, 32]","[39.6482787, -82.817523]",[],[],"[1, 32]","[0, 33]","[0, 31]","['Links/Photos_01JUN2018_67', [0, 16]]",[],"['Links/Photos_02Aug2018_33', '[0, 32]']",[],"[corn=1, Utility=NaN]","[-1, '0.6523072313695745', '0.6654556926917446', -1]"
33,"[0, 33]","[39.6482787, -82.8176271]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0033.JPG,[],"[1, 33]","[0, 34]","[0, 32]","['Links/Photos_01JUN2018_67', [0, 16]]",[],"['Links/Photos_02Aug2018_33', '[0, 33]']",[],"[Latitude=39.6482805278, Longitude=-82.8176284167, BrightnessTotal=0.868548684241, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.896955167484, SaturationTotalGreen=0.866184985192, SaturationTotalBlue=0.786320720997, time=0.535844907407, corn=1, Utility=0.6654556926917446]","[-1, '0.6607486950861702', '0.6558384067965958', -1]"
33,"[0, 34]","[39.6482787, -82.8177313]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0034.JPG,[],"[1, 34]","[0, 35]","[0, 33]","['Links/Photos_01JUN2018_67', [0, 17]]",[],"['Links/Photos_02Aug2018_33', '[0, 34]']",[],"[Latitude=39.6482799444, Longitude=-82.8177328056, BrightnessTotal=0.833808318802, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.862529016033, SaturationTotalGreen=0.832860536663, SaturationTotalBlue=0.733906569138, time=0.535925925926, corn=1, Utility=0.6558384067965958]","[-1, '0.6533088686332765', '0.6544950510851064', '0.6654556926917446']"
33,"[0, 35]","[39.6482787, -82.8178355]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0035.JPG,[],"[1, 35]","[0, 36]","[0, 34]","['Links/Photos_01JUN2018_67', [0, 17]]",[],"['Links/Photos_02Aug2018_33', '[0, 35]']",[],"[Latitude=39.6482791111, Longitude=-82.8178367222, BrightnessTotal=0.828807338033, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.859206750408, SaturationTotalGreen=0.827321474163, SaturationTotalBlue=0.72805383221, time=0.536018518519, corn=1, Utility=0.6544950510851064]","[-1, '0.6560746454158298', '0.6600870577554468', '0.6558384067965958']"
33,"[0, 36]","[39.6482787, -82.8179397]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0036.JPG,[],"[1, 36]","[0, 37]","[0, 35]","['Links/Photos_01JUN2018_67', [0, 18]]",[],"['Links/Photos_02Aug2018_33', '[0, 36]']",[],"[Latitude=39.6482788611, Longitude=-82.817938, BrightnessTotal=0.850382318646, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.878376199959, SaturationTotalGreen=0.849298726001, SaturationTotalBlue=0.755214716095, time=0.536099537037, corn=1, Utility=0.6600870577554468]","[-1, '0.6586340208883404', '0.6558517915417871', '0.6544950510851064']"
33,"[0, 37]","[39.6482787, -82.8180438]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0037.JPG,[],"[1, 37]","[0, 38]","[0, 36]","['Links/Photos_01JUN2018_67', [0, 18]]",[],"['Links/Photos_02Aug2018_33', '[0, 37]']",[],"[Latitude=39.6482791389, Longitude=-82.8180437222, BrightnessTotal=0.83391264968, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.866663615707, SaturationTotalGreen=0.831271701389, SaturationTotalBlue=0.736686427696, time=0.53619212963, corn=1, Utility=0.6558517915417871]","[-1, '0.6545628153259148', '0.6650655899457873', '0.6600870577554468']"
33,"[0, 38]","[39.6482787, -82.818148]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0038.JPG,[],"[1, 38]","[0, 39]","[0, 37]","['Links/Photos_01JUN2018_67', [0, 19]]",[],"['Links/Photos_02Aug2018_33', '[0, 38]']",[],"[Latitude=39.6482789444, Longitude=-82.8181473889, BrightnessTotal=0.869213920102, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.898260774101, SaturationTotalGreen=0.867108238868, SaturationTotalBlue=0.781493553411, time=0.536273148148, corn=1, Utility=0.6650655899457873]","[-1, '0.662138148050383', '0.6627439458099574', '0.6558517915417871']"
33,"[0, 39]","[39.6482787, -82.8182522]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0039.JPG,[],"[1, 39]","[0, 40]","[0, 38]","['Links/Photos_01JUN2018_67', [0, 19]]",[],"['Links/Photos_02Aug2018_33', '[0, 39]']",[],"[Latitude=39.6482783611, Longitude=-82.8182528611, BrightnessTotal=0.860339648861, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.889657207414, SaturationTotalGreen=0.858093622345, SaturationTotalBlue=0.773027765012, time=0.536365740741, corn=1, Utility=0.6627439458099574]","[-1, '0.6538409585681703', '0.6546942291727235', '0.6650655899457873']"
33,"[0, 40]","[39.6482787, -82.8183563]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0040.JPG,[],"[1, 40]","[0, 41]","[0, 39]","['Links/Photos_01JUN2018_67', [0, 20]]",[],"['Links/Photos_02Aug2018_33', '[0, 40]']",[],"[Latitude=39.6482780556, Longitude=-82.8183566667, BrightnessTotal=0.829271005129, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.862962839563, SaturationTotalGreen=0.825789470997, SaturationTotalBlue=0.737684244792, time=0.536446759259, corn=1, Utility=0.6546942291727235]","[-1, '0.6533560984924256', '0.6475756944691063', '0.6627439458099574']"
33,"[0, 41]","[39.6482787, -82.8184605]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0041.JPG,[],"[1, 41]","[0, 42]","[0, 40]","['Links/Photos_01JUN2018_67', [0, 20]]",[],"['Links/Photos_02Aug2018_33', '[0, 41]']",[],"[Latitude=39.6482784722, Longitude=-82.8184593611, BrightnessTotal=0.803310070206, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.837092243668, SaturationTotalGreen=0.800694355086, SaturationTotalBlue=0.701099047692, time=0.536539351852, corn=1, Utility=0.6475756944691063]","[-1, '0.656121863014085', '0.6485998185927659', '0.6546942291727235']"
