height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 39]","[39.6432522, -82.8182522]",[],"[46, 39]","[48, 39]","[47, 40]","[47, 38]","['Links/Photos_02Aug2018_67', [23, 19]]",[],"['Links/Photos_20AUG2018_33', '[47, 39]']","['Links/Photos_01JUN2018_33', '[47, 39]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 40]","[39.6432522, -82.8183563]",[],"[46, 40]","[48, 40]","[47, 41]","[47, 39]","['Links/Photos_02Aug2018_67', [23, 20]]",[],"['Links/Photos_20AUG2018_33', '[47, 40]']","['Links/Photos_01JUN2018_33', '[47, 40]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 41]","[39.6432522, -82.8184605]",[],"[46, 41]","[48, 41]","[47, 42]","[47, 40]","['Links/Photos_02Aug2018_67', [23, 20]]",[],"['Links/Photos_20AUG2018_33', '[47, 41]']","['Links/Photos_01JUN2018_33', '[47, 41]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 42]","[39.6432522, -82.8185647]",[],"[46, 42]","[48, 42]","[47, 43]","[47, 41]","['Links/Photos_02Aug2018_67', [23, 21]]",[],"['Links/Photos_20AUG2018_33', '[47, 42]']","['Links/Photos_01JUN2018_33', '[47, 42]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 43]","[39.6432522, -82.8186688]",[],"[46, 43]","[48, 43]",[],"[47, 42]","['Links/Photos_02Aug2018_67', [23, 21]]",[],"['Links/Photos_20AUG2018_33', '[47, 43]']","['Links/Photos_01JUN2018_33', '[47, 43]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 0]","[39.6431452, -82.8141896]",[],"[47, 0]","[49, 0]","[48, 1]",[],"['Links/Photos_02Aug2018_67', [24, 0]]",[],"['Links/Photos_20AUG2018_33', '[48, 0]']","['Links/Photos_01JUN2018_33', '[48, 0]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 1]","[39.6431452, -82.8142937]",[],"[47, 1]","[49, 1]","[48, 2]","[48, 0]","['Links/Photos_02Aug2018_67', [24, 0]]",[],"['Links/Photos_20AUG2018_33', '[48, 1]']","['Links/Photos_01JUN2018_33', '[48, 1]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 2]","[39.6431452, -82.8143979]",[],"[47, 2]","[49, 2]","[48, 3]","[48, 1]","['Links/Photos_02Aug2018_67', [24, 1]]",[],"['Links/Photos_20AUG2018_33', '[48, 2]']","['Links/Photos_01JUN2018_33', '[48, 2]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 3]","[39.6431452, -82.8145021]",[],"[47, 3]","[49, 3]","[48, 4]","[48, 2]","['Links/Photos_02Aug2018_67', [24, 1]]",[],"['Links/Photos_20AUG2018_33', '[48, 3]']","['Links/Photos_01JUN2018_33', '[48, 3]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 4]","[39.6431452, -82.8146062]",[],"[47, 4]","[49, 4]","[48, 5]","[48, 3]","['Links/Photos_02Aug2018_67', [24, 2]]",[],"['Links/Photos_20AUG2018_33', '[48, 4]']","['Links/Photos_01JUN2018_33', '[48, 4]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 5]","[39.6431452, -82.8147104]",[],"[47, 5]","[49, 5]","[48, 6]","[48, 4]","['Links/Photos_02Aug2018_67', [24, 2]]",[],"['Links/Photos_20AUG2018_33', '[48, 5]']","['Links/Photos_01JUN2018_33', '[48, 5]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 6]","[39.6431452, -82.8148146]",[],"[47, 6]","[49, 6]","[48, 7]","[48, 5]","['Links/Photos_02Aug2018_67', [24, 3]]",[],"['Links/Photos_20AUG2018_33', '[48, 6]']","['Links/Photos_01JUN2018_33', '[48, 6]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 7]","[39.6431452, -82.8149187]",[],"[47, 7]","[49, 7]","[48, 8]","[48, 6]","['Links/Photos_02Aug2018_67', [24, 3]]",[],"['Links/Photos_20AUG2018_33', '[48, 7]']","['Links/Photos_01JUN2018_33', '[48, 7]']",[Utility=NaN],"[-1, -1, -1, -1]"
